CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2015-01-01;1;BCO BRASIL S.A.;001023;FCA;43576;2015-01-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43576
00.000.000/0001-91;2015-01-01;2;BCO BRASIL S.A.;001023;FCA;43977;2015-02-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43977
00.000.000/0001-91;2015-01-01;3;BCO BRASIL S.A.;001023;FCA;44006;2015-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44006
00.000.000/0001-91;2015-01-01;4;BCO BRASIL S.A.;001023;FCA;44187;2015-02-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44187
00.000.208/0001-00;2015-01-01;1;BRB BANCO DE BRASILIA S.A.;014206;FCA;43417;2015-01-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43417
00.000.208/0001-00;2015-01-01;2;BRB BANCO DE BRASILIA S.A.;014206;FCA;45770;2015-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45770
00.000.208/0001-00;2015-01-01;3;BRB BANCO DE BRASILIA S.A.;014206;FCA;46823;2015-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46823
00.001.180/0001-26;2015-01-01;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FCA;45470;2015-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45470
00.070.698/0001-11;2015-01-01;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;43395;2015-01-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43395
00.070.698/0001-11;2015-01-01;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;43425;2015-01-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43425
00.070.698/0001-11;2015-01-01;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;46287;2015-05-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46287
00.070.698/0001-11;2015-01-01;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;48781;2015-06-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48781
00.070.698/0001-11;2015-01-01;5;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;50443;2015-09-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50443
00.070.698/0001-11;2015-01-01;6;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;50968;2015-10-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50968
00.070.698/0001-11;2015-01-01;7;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;51142;2015-10-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51142
00.070.698/0001-11;2015-01-01;8;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FCA;51996;2015-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51996
00.115.890/0001-87;2015-01-01;1;SHOPPING CENTER TACARUNA SA;015733;FCA;45477;2015-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45477
00.115.890/0001-87;2015-01-01;2;SHOPPING CENTER TACARUNA SA;015733;FCA;48342;2015-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=48342
00.185.475/0001-08;2015-01-01;1;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;43525;2015-01-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43525
00.185.475/0001-08;2015-01-01;2;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;014680;FCA;46645;2015-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46645
00.192.769/0001-59;2015-01-01;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;45521;2015-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45521
00.192.769/0001-59;2015-01-01;2;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FCA;46616;2015-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46616
00.249.786/0001-85;2015-01-01;1;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;43526;2015-01-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43526
00.249.786/0001-85;2015-01-01;2;FORPART S.A. - EM LIQUIDAÇÃO;014796;FCA;46646;2015-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46646
00.272.185/0001-93;2015-01-01;1;CIMS S.A.;014818;FCA;44235;2015-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44235
00.336.701/0001-04;2015-01-01;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;43967;2015-02-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43967
00.336.701/0001-04;2015-01-01;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;45794;2015-04-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45794
00.336.701/0001-04;2015-01-01;3;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;46251;2015-04-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46251
00.336.701/0001-04;2015-01-01;4;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FCA;51234;2015-11-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=51234
