CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2013-01-01;5;31490;BANCO DO BRASIL S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-05-31;;Nível 1 de Governança Corporativa;1977-07-20;
00.000.208/0001-00;2013-01-01;3;31413;BRB-BANCO DE BRASILIA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1993-09-24;;Nível 2 de Governança Corporativa;1993-09-24;
00.001.180/0001-26;2013-01-01;2;28861;CENTRAIS ELETRICAS BRASILEIRAS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-09-26;;Bovespa Mais;1983-09-01;
00.070.698/0001-11;2013-01-01;6;31535;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-21;;Nível 2 de Governança Corporativa;1999-05-21;
00.185.475/0001-08;2013-01-01;3;27180;PARCOM PARTICIPACOES SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1998-06-17;;;1998-06-17;
00.192.769/0001-59;2013-01-01;3;30887;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;1998-04-07;
00.336.701/0001-04;2013-01-01;4;32963;TELEC. BRASILEIRAS S.A. - TELEBRÁS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1989-03-01;;Nível 2 de Governança Corporativa;1989-03-01;
00.383.281/0001-09;2013-01-01;2;28296;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2006-12-20;;;2006-12-01;
00.383.281/0001-09;2013-01-01;2;28296;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;Debêntures;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-12-20;;;2006-12-01;
00.514.998/0001-42;2013-01-01;2;28222;ELETRON SA;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1999-05-11;;;1999-05-11;
00.622.416/0001-41;2013-01-01;4;28474;Desenvix Energias Renováveis S.A.;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2011-10-03;;;2011-09-19;
00.644.907/0001-93;2013-01-01;4;29156;INVESTCO S/A;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2001-11-01;2011-11-01;;2001-11-01;2011-11-01
00.864.214/0001-06;2013-01-01;2;26466;ENERGISA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-20;;Nível 2 de Governança Corporativa;1995-12-20;
00.897.864/0001-58;2013-01-01;4;103033;SANTA CATARINA PART INVEST SA;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-12-14;1995-12-14;;1995-12-14;1995-12-14
00.924.429/0001-75;2013-01-01;3;26592;FERROVIA CENTRO ATLANTICA SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1996-02-14;;Nível 2 de Governança Corporativa;1996-02-14;
00.924.432/0001-99;2013-01-01;1;27949;HOPI HARI SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1996-02-13;;Nível 2 de Governança Corporativa;1996-02-13;
00.924.432/0001-99;2013-01-01;1;27949;HOPI HARI SA;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;1997-02-18;;;1997-02-18;
