ticker,retorno_total,cagr,volatilidade_anual,max_drawdown,sharpe,sortino,beta,correlacao_ibov,observacoes
ABEV3,0.06290784,0.01227811,0.24086128,-0.30015725,-0.46732954,-0.70636445,0.61343320,0.44986504,1243
BBAS3,1.18653672,0.16939345,0.27835823,-0.37911034,0.16005903,0.22842705,0.96842127,0.61392594,1243
BBDC4,0.23331525,0.04283912,0.30934214,-0.40529461,-0.26508056,-0.38148423,1.10625865,0.63114426,1243
CMIG4,0.44157801,0.07590018,0.30026660,-0.34659480,-0.16298692,-0.22076181,0.89409438,0.52552428,1243
EGIE3,0.43689320,0.07519988,0.21608876,-0.26821601,-0.22971960,-0.34008360,0.56670214,0.46290671,1243
ITUB4,1.30705101,0.18201063,0.24377899,-0.25247387,0.23451947,0.35523635,0.98034733,0.70970880,1243
PETR4,3.95510823,0.37730353,0.36063677,-0.43080594,0.70005016,1.00480267,0.84866011,0.41493096,1243
TAEE11,0.47833973,0.08133310,0.19769506,-0.19946158,-0.22006925,-0.32034752,0.50155019,0.44788577,1243
VALE3,0.19714373,0.03664820,0.31376786,-0.39147559,-0.28107246,-0.42069324,0.86086735,0.48365057,1243
WEGE3,0.45755674,0.07827510,0.30359730,-0.44343315,-0.15337624,-0.22627912,0.69891871,0.40940018,1243
