date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3,IBOV
2021-08-20,17.540000,14.855000,17.136400,9.607700,27.500000,21.910900,26.600000,40.490000,97.550000,35.980000,118053.000000
2021-08-23,17.360000,14.990000,17.257600,9.615400,27.364300,22.146200,27.020000,39.710000,96.200000,35.750000,117472.000000
2021-08-24,17.590000,15.300000,17.712100,10.030800,27.785700,22.764000,27.580000,39.940000,99.710000,35.660000,120211.000000
2021-08-25,17.580000,15.250000,17.742400,10.107700,27.600000,22.793500,27.730000,39.610000,99.500000,36.380000,120818.000000
2021-08-26,17.110000,15.035000,17.401500,10.023100,27.121400,22.241800,27.490000,38.140000,98.230000,36.770000,118724.000000
2021-08-27,17.040000,15.265000,17.628800,10.184600,27.364300,22.624300,28.490000,38.040000,100.690000,36.900000,120678.000000
2021-08-30,17.180000,15.120000,17.439400,10.138500,27.100000,22.462500,28.300000,38.200000,100.050000,36.680000,119740.000000
2021-08-31,17.100000,15.215000,17.537900,10.392300,26.821400,22.756700,27.190000,37.910000,98.680000,35.560000,118781.000000
2021-09-01,17.260000,15.230000,17.507600,10.746200,27.628600,22.845000,27.040000,38.110000,98.850000,36.290000,119396.000000
2021-09-02,16.520000,14.600000,16.878800,10.530800,27.914300,22.021200,26.600000,37.740000,98.540000,35.740000,116677.000000
2021-09-03,16.560000,14.565000,16.795500,10.469200,28.071400,21.896100,26.330000,37.550000,98.610000,36.250000,116933.000000
2021-09-06,17.190000,14.825000,16.969700,10.376900,28.214300,22.175600,26.460000,37.780000,97.060000,36.380000,117869.000000
2021-09-08,16.210000,14.200000,15.992400,10.192300,27.335700,21.123900,24.970000,36.840000,95.040000,36.490000,113413.000000
2021-09-09,16.310000,14.450000,16.060600,10.284600,27.992900,21.403400,25.500000,37.090000,94.700000,38.840000,115361.000000
2021-09-10,16.100000,14.495000,15.863600,10.353800,27.614300,21.190100,25.340000,37.030000,94.810000,38.660000,114286.000000
2021-09-13,16.350000,14.815000,16.189400,10.515400,27.928600,21.454800,26.230000,37.530000,94.760000,38.900000,116404.000000
2021-09-14,16.440000,14.615000,16.083300,10.584600,28.057100,21.322400,25.880000,38.030000,94.090000,39.380000,116181.000000
2021-09-15,16.020000,14.500000,15.939400,10.576900,27.757100,20.976800,26.330000,37.480000,91.740000,39.840000,115063.000000
2021-09-16,16.130000,14.735000,15.734800,10.600000,27.785700,20.962000,26.100000,37.340000,87.930000,39.900000,113794.000000
2021-09-17,15.740000,14.470000,15.166700,10.584600,27.728600,20.461900,24.930000,36.450000,86.150000,39.190000,111439.000000
2021-09-20,15.610000,14.000000,14.598500,10.569200,27.585700,19.998500,24.650000,36.450000,83.310000,38.890000,108844.000000
2021-09-21,15.660000,14.355000,14.810600,10.730800,27.814300,19.947000,25.210000,36.840000,84.120000,39.750000,110250.000000
2021-09-22,15.720000,14.690000,15.030300,10.807700,27.671400,20.410400,25.850000,36.860000,87.110000,40.570000,112282.000000
2021-09-23,15.880000,14.725000,15.697000,10.830800,27.571400,21.116500,26.840000,37.040000,78.910000,41.170000,114064.000000
2021-09-24,15.840000,14.610000,15.348500,10.884600,27.264300,20.822300,26.900000,36.660000,77.690000,41.340000,113283.000000
2021-09-27,15.830000,14.935000,15.810600,11.138500,27.078600,21.366600,27.140000,36.680000,78.800000,40.860000,113583.000000
2021-09-28,15.440000,14.630000,15.477300,10.923100,26.964300,20.881100,26.960000,36.730000,74.850000,40.670000,110124.000000
2021-09-29,15.490000,14.710000,15.757600,10.946200,26.921400,21.256300,27.390000,36.570000,75.800000,39.870000,111107.000000
2021-09-30,15.300000,14.450000,15.780300,10.792300,26.757100,21.278300,27.230000,35.840000,76.240000,39.630000,110979.000000
2021-10-01,15.270000,14.775000,16.174200,10.907700,26.878600,21.822600,28.000000,35.890000,76.200000,40.170000,112900.000000
2021-10-04,15.040000,14.600000,15.704500,10.830800,26.850000,21.482800,28.790000,35.820000,75.490000,38.780000,110393.000000
2021-10-05,15.180000,15.295000,15.969700,10.830800,26.464300,22.003500,29.420000,35.470000,74.950000,37.530000,110458.000000
2021-10-06,15.100000,15.320000,16.090900,10.615400,26.700000,22.074100,28.640000,35.780000,77.060000,37.510000,110560.000000
2021-10-07,15.080000,15.160000,15.689400,10.569200,26.585700,21.606400,28.600000,35.940000,79.360000,37.560000,110585.000000
2021-10-08,15.360000,15.480000,15.795500,10.869200,26.842900,21.765200,29.120000,36.580000,79.850000,38.650000,112833.000000
2021-10-11,15.240000,15.360000,15.507600,11.215400,27.128600,21.385700,29.320000,36.550000,81.620000,38.620000,112180.000000
2021-10-13,15.510000,15.380000,15.462100,11.538500,27.514300,21.412200,29.630000,37.420000,79.200000,40.580000,113456.000000
2021-10-14,15.490000,15.305000,15.318200,11.607700,27.507100,21.306300,29.680000,37.520000,79.200000,40.600000,113185.000000
2021-10-15,15.530000,15.790000,16.121200,11.538500,27.535700,21.853500,29.600000,37.690000,80.680000,40.120000,114648.000000
2021-10-18,15.620000,16.105000,16.401500,11.623100,27.600000,22.003500,29.450000,37.970000,79.920000,40.360000,114428.000000
2021-10-19,15.140000,15.315000,15.893900,11.361500,27.314300,21.482800,28.010000,37.490000,79.000000,39.350000,110673.000000
2021-10-20,15.350000,15.570000,16.371200,11.392300,27.850000,21.977100,28.410000,37.690000,76.410000,40.110000,110786.000000
2021-10-21,15.140000,14.910000,16.098500,10.600000,27.535700,21.606400,27.450000,37.370000,75.160000,39.350000,107735.000000
2021-10-22,15.000000,14.455000,15.492400,10.284600,27.050000,20.776700,27.180000,36.820000,76.080000,38.890000,106296.000000
2021-10-25,15.270000,14.755000,15.727300,10.361500,27.621400,21.182700,29.040000,37.200000,77.000000,39.550000,108715.000000
2021-10-26,15.160000,14.600000,15.371200,10.284600,27.507100,20.953200,28.760000,36.720000,76.180000,39.660000,106420.000000
2021-10-27,15.220000,14.585000,15.575800,10.338500,28.192900,21.112100,28.690000,37.030000,74.450000,39.200000,106363.000000
2021-10-28,16.700000,14.455000,15.522700,9.969200,27.807100,21.068000,28.960000,36.730000,73.700000,37.830000,105705.000000
2021-10-29,16.990000,14.250000,15.075800,9.907700,27.792900,20.573700,27.250000,36.660000,71.610000,37.000000,103501.000000
2021-11-01,17.360000,14.575000,15.598500,10.023100,27.935700,21.376900,28.000000,36.800000,72.320000,36.960000,105551.000000
2021-11-03,17.830000,14.670000,15.454500,10.246200,28.514300,21.579900,26.850000,37.540000,66.830000,37.680000,105617.000000
2021-11-04,17.880000,14.325000,14.431800,10.030800,28.421400,20.441300,26.000000,36.950000,66.070000,37.720000,103412.000000
2021-11-05,17.900000,14.645000,15.143900,10.161500,28.214300,20.194200,25.850000,36.770000,64.110000,37.680000,104824.000000
2021-11-08,17.740000,14.740000,14.795500,10.169200,28.235700,20.088300,26.120000,36.460000,67.600000,37.100000,104781.000000
2021-11-09,17.890000,14.720000,14.621200,10.361500,28.342900,19.885300,26.640000,36.910000,65.940000,36.790000,105535.000000
2021-11-10,17.750000,15.395000,15.447000,10.584600,28.621400,20.388400,26.430000,37.560000,65.690000,36.280000,105968.000000
2021-11-11,17.610000,15.100000,15.522700,10.730800,28.757100,20.344200,26.450000,36.660000,68.010000,36.500000,107725.000000
2021-11-12,17.510000,15.075000,15.674200,10.707700,28.357100,20.300100,26.990000,36.500000,68.300000,35.650000,106312.000000
2021-11-16,17.510000,14.865000,15.651500,10.538500,28.114300,20.088300,27.270000,35.830000,66.330000,35.380000,104508.000000
2021-11-17,17.540000,14.655000,15.719700,10.323100,27.935700,20.167700,26.580000,35.360000,65.000000,35.770000,102945.000000
2021-11-18,17.600000,14.545000,15.568200,10.353800,28.028600,19.832300,26.540000,35.350000,62.330000,35.920000,102524.000000
2021-11-19,17.390000,14.525000,15.553000,10.469200,28.392900,19.664600,26.100000,35.480000,64.030000,35.790000,103035.000000
2021-11-22,17.320000,14.445000,15.287900,10.330800,28.021400,19.479300,26.360000,35.240000,67.590000,34.670000,102122.000000
2021-11-23,17.200000,14.845000,15.583300,10.500000,28.035700,19.805800,27.800000,35.630000,69.370000,34.160000,103663.000000
2021-11-24,17.100000,15.120000,15.984800,10.369200,27.935700,20.335400,28.370000,35.490000,70.980000,33.530000,104514.000000
