ticker,ex_date,payment_date,amount,kind,payment_date_estimated
PETR4,1996-03-21,1996-03-21,5.14710000,DIVIDENDO,1
PETR4,1997-03-21,1997-03-21,2.00000000,DIVIDENDO,1
PETR4,1997-03-21,1997-03-21,2.12630000,DIVIDENDO,1
PETR4,1998-03-24,1998-03-24,0.20487160,DIVIDENDO,1
PETR4,1998-03-24,1998-03-24,0.66937023,DIVIDENDO,1
PETR4,1998-03-24,1998-03-24,2.07024880,DIVIDENDO,1
PETR4,1998-03-24,1998-03-24,3.20780920,DIVIDENDO,1
PETR4,1999-03-24,1999-03-24,1.88930000,DIVIDENDO,1
PETR4,1999-03-24,1999-03-24,4.55150000,JCP,1
PETR4,2000-03-23,2000-03-23,0.14000000,RENDIMENTO,1
PETR4,2000-03-23,2000-03-23,0.17000000,RENDIMENTO,1
PETR4,2000-03-23,2000-03-23,3.58000000,DIVIDENDO,1
PETR4,2000-03-23,2000-03-23,4.27000000,JCP,1
PETR4,2001-03-23,2001-03-23,0.07000000,RENDIMENTO,1
PETR4,2001-03-23,2001-03-23,0.57000000,DIVIDENDO,1
PETR4,2001-03-23,2001-03-23,1.67000000,JCP,1
PETR4,2001-06-29,2001-08-22,1.02000000,JCP,0
PETR4,2001-08-03,2001-08-22,0.03000000,DIVIDENDO,0
PETR4,2002-03-22,2002-03-22,0.09000000,RENDIMENTO,1
PETR4,2002-03-22,2002-03-22,0.89000000,JCP,1
PETR4,2002-03-22,2002-03-22,1.30000000,DIVIDENDO,1
PETR4,2002-11-12,2003-01-13,1.00000000,JCP,0
PETR4,2003-03-27,2003-03-27,0.03000000,RENDIMENTO,1
PETR4,2003-03-27,2003-03-27,0.06000000,RENDIMENTO,1
PETR4,2003-03-27,2003-03-27,0.53000000,DIVIDENDO,1
PETR4,2003-03-27,2003-03-27,1.00000000,JCP,1
PETR4,2003-11-25,2003-11-25,0.01000000,RENDIMENTO,1
PETR4,2003-11-25,2003-11-25,2.99000000,JCP,1
PETR4,2004-03-29,2004-03-29,0.04000000,RENDIMENTO,1
PETR4,2004-03-29,2004-03-29,1.00000000,DIVIDENDO,1
PETR4,2004-03-29,2004-03-29,1.15000000,JCP,1
