date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2021-08-20,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
2021-08-23,0.98973774,1.00908785,1.00707266,1.00080144,0.99506545,1.01073895,1.01578947,0.98073598,0.98616094,0.99360756
2021-08-24,1.00285063,1.02995624,1.03359515,1.04403759,1.01038909,1.03893496,1.03684211,0.98641640,1.02214249,0.99110617
2021-08-25,1.00228050,1.02659037,1.03536332,1.05204159,1.00363636,1.04028132,1.04248120,0.97826624,1.01998975,1.01111729
2021-08-26,0.97548461,1.01211713,1.01546999,1.04323615,0.98623273,1.01510207,1.03345865,0.94196098,1.00697078,1.02195664
2021-08-27,0.97149373,1.02760013,1.02873416,1.06004559,0.99506545,1.03255914,1.07105263,0.93949123,1.03218862,1.02556976
2021-08-30,0.97947548,1.01783911,1.01768166,1.05524735,0.98545455,1.02517468,1.06390977,0.94344283,1.02562788,1.01945525
2021-08-31,0.97491448,1.04419054,1.02342966,1.08166367,0.97532364,1.03860179,1.02218045,0.93628056,1.01158380,0.98832685
2021-09-01,0.98403649,1.04521998,1.02166149,1.11849870,1.00467636,1.04263175,1.01654135,0.94122005,1.01332650,1.00861590
2021-09-02,0.94184721,1.00198370,0.98496767,1.09607919,1.01506545,1.00503402,1.00000000,0.93208200,1.01014864,0.99332963
2021-09-03,0.94412771,0.99958168,0.98010667,1.08966766,1.02077818,0.99932454,0.98984962,0.92738948,1.01086622,1.00750417
2021-09-06,0.98004561,1.01742522,0.99027217,1.08006078,1.02597455,1.01208075,0.99473684,0.93306989,0.99497693,1.01111729
2021-09-08,0.92417332,0.97453209,0.93324152,1.06084703,0.99402545,0.96408180,0.93872180,0.90985429,0.97426961,1.01417454
2021-09-09,0.92987457,0.99168934,0.93722135,1.07045391,1.01792364,0.97683801,0.95864662,0.91602865,0.97078421,1.07948860
2021-09-10,0.91790194,0.99477765,0.92572536,1.07765646,1.00415636,0.96710313,0.95263158,0.91454680,0.97191184,1.07448583
2021-09-13,0.93215507,1.01673893,0.94473752,1.09447631,1.01558545,0.97918388,0.98609023,0.92689553,0.97139928,1.08115620
2021-09-14,0.93728620,1.00301313,0.93854602,1.10167886,1.02025818,0.97314122,0.97293233,0.93924426,0.96453101,1.09449694
2021-09-15,0.91334094,0.99512079,0.93014869,1.10087742,1.00934909,0.95736825,0.98984962,0.92566066,0.94044080,1.10728182
2021-09-16,0.91961231,1.01124861,0.91820919,1.10328174,1.01038909,0.95669279,0.98120301,0.92220301,0.90138391,1.10894942
2021-09-17,0.89737742,0.99306192,0.88505754,1.10167886,1.00831273,0.93386853,0.93721805,0.90022228,0.88313685,1.08921623
2021-09-20,0.88996579,0.96080628,0.85190005,1.10007598,1.00311636,0.91271924,0.92669173,0.90022228,0.85402358,1.08087827
2021-09-21,0.89281642,0.98516959,0.86427721,1.11689582,1.01142909,0.91036881,0.94774436,0.90985429,0.86232701,1.10478043
2021-09-22,0.89623717,1.00816031,0.87709787,1.12489982,1.00623273,0.93151810,0.97180451,0.91034823,0.89297796,1.12757087
2021-09-23,0.90535918,1.01056232,0.91600336,1.12730414,1.00259636,0.96374407,1.00902256,0.91479378,0.80891850,1.14424680
